"alpha3_code","species","type","esq","a","b"
"COZ","Anadara antiquata","ShL",,0.3101,2.713
"COZ","Anadara antiquata","ShL",,0.2426,2.917
"COZ","Atrina pectinata","ShL",,0.0138,2.982
"COZ","Atrina pectinata","ShL",,0.0208,3.096
"COZ","Donax cuneatus","ShL",,0.2891,2.808
"COZ","Donax cuneatus","ShL",,0.1362,3.108
"COZ","Donax faba","ShL",,0.2085,3.173
"COZ","Marcia hiantina","ShL",,1.201,2.444
"COZ","Marcia hiantina","ShL",,1.286,2.448
"COZ","Marcia hiantina","ShL",,1.004,2.63
"COZ","Pinctada margaritifera","ShD",,3.0061,3.048
"COZ","Pinctada radiata","ShH","Yes",0.0773,2.198
"COZ","Pinctada radiata","ShH","Yes",0.0596,2.205
"COZ","Pinctada radiata","ShH",,0.321,2.776
"COZ","Pinctada radiata","ShH",,0.2104,2.907
"COZ","Pinctada radiata","ShH",,0.1105,3.001
"COZ","Pinctada radiata","OT","Yes",0.7638,1.547
"COZ","Pinctada radiata","ShH",,0.0052,3.111
"COZ","Tegillarca granosa","ShL",,0.8582,2.153
"COZ","Tegillarca granosa","ShL",,0.346,2.238
"COZ","Tegillarca granosa","ShL",,0.4358,2.728
"COZ","Tegillarca granosa","ShL",,0.4513,2.82
"COZ","Tegillarca granosa","ShL",,0.3746,2.937
"COZ","Tegillarca granosa","ShL",,0.3638,3.044
"COZ","Tegillarca granosa","ShL",,0.3167,3.096
"COZ","Tegillarca granosa","ShL",,0.245,3.295
"COZ","Tegillarca granosa","ShL",,0.245,3.373
"COZ","Tridacna gigas","ShL",,4.552,3
"COZ","Tridacna maxima","ShL",,0.121,3.134
"COZ","Tridacna maxima","ShL",,0.1123,3.163
"CRA","Ashtoret lunaris","CW","Yes",0.3936,2.32
"CRA","Ashtoret lunaris","CW","Yes",0.271,2.48
"CRA","Ashtoret lunaris","CL",,0.538,2.711
"CRA","Ashtoret lunaris","CW",,0.1241,2.833
"CRA","Ashtoret lunaris","CW","Yes",0.3936,2.32
"CRA","Ashtoret lunaris","CW","Yes",0.271,2.48
"CRA","Ashtoret lunaris","CL",,0.538,2.711
"CRA","Ashtoret lunaris","CW",,0.1241,2.833
"CRA","Charybdis annulata","CW",,0.618,2.323
"CRA","Charybdis feriatus","CW","Yes",1.3167,2.18
"CRA","Charybdis feriatus","CW",,0.64,2.66
"CRA","Charybdis feriatus","CW",,0.49,2.73
"CRA","Charybdis feriatus","CW",,0.54,2.78
"CRA","Charybdis feriatus","CW",,0.338,2.83
"CRA","Charybdis feriatus","CW",,0.59,2.83
"CRA","Charybdis feriatus","CW",,0.0871,2.94
"CRA","Charybdis feriatus","CW",,0.0784,2.94
"CRA","Charybdis feriatus","CW",,0.0653,2.97
"CRA","Charybdis feriatus","CL",,0.1752,2.985
"CRA","Charybdis feriatus","CW",,0.156,3.005
"CRA","Charybdis feriatus","CW",,0.0374,3.01
"CRA","Charybdis feriatus","CW",,0.139,3.071
"CRA","Charybdis feriatus","CW",,0.14,3.078
"CRA","Grapsus albolineatus","CW",,1.0546,2.068
"CRA","Matuta planipes","CW","Yes",0.3396,2.35
"CRA","Matuta planipes","CL",,0.615,2.397
"CRA","Matuta planipes","CL","Yes",0.4742,2.555
"CRA","Matuta planipes","CW","Yes",0.2679,2.61
"CRA","Matuta planipes","CW","Yes",0.184,2.65
"CRA","Matuta planipes","CL",,0.52,2.724
"CRA","Matuta planipes","CW",,0.128,2.917
"CRA","Matuta planipes","CL",,0.272,3.011
"CRA","Myra fugax","CL","Yes",0.0021,2.413
"CRA","Myra fugax","CL",,0.0013,2.566
"CRA","Myra fugax","CW",,0.0019,2.632
"CRA","Myra fugax","CW",,0.0014,2.741
"CRA","Myra fugax","CL",,5e-04,2.833
"CRA","Myra fugax","CW",,8e-04,2.908
"CRA","Podophthalmus vigil","CW","Yes",0.3687,2.397
"CRA","Portunus pelagicus","CW","Yes",1.8368,1.72
"CRA","Portunus pelagicus","CW","Yes",1.2035,1.85
"CRA","Portunus pelagicus","CL","Yes",0.0216,2.34
"CRA","Portunus pelagicus","CL","Yes",0.9672,2.44
"CRA","Portunus pelagicus","CL","Yes",1.2974,2.511
"CRA","Portunus pelagicus","CW",,0.204,2.56
"CRA","Portunus pelagicus","CW",,0.36,2.567
"CRA","Portunus pelagicus","CW",,0.26,2.665
"CRA","Portunus pelagicus","CL","Yes",0.9796,2.69
"CRA","Portunus pelagicus","CW",,0.3478,2.719
"CRA","Portunus pelagicus","CW","Yes",0.5248,2.72
"CRA","Portunus pelagicus","CW",,0.2171,2.725
"CRA","Portunus pelagicus","CL",,0.2888,2.73
"CRA","Portunus pelagicus","CW",,0.112,2.748
"CRA","Portunus pelagicus","CW",,0.1143,2.757
"CRA","Portunus pelagicus","CW",,0.1198,2.79
"CRA","Portunus pelagicus","CW",,0.1694,2.839
"CRA","Portunus pelagicus","CW",,0.0855,2.86
"CRA","Portunus pelagicus","CL",,0.8845,2.868
"CRA","Portunus pelagicus","CW",,0.0784,2.894
"CRA","Portunus pelagicus","CW",,0.1568,2.894
"CRA","Portunus pelagicus","CW",,1.17,2.91
"CRA","Portunus pelagicus","CL",,0.967,2.91
"CRA","Portunus pelagicus","CW",,0.0834,2.921
"CRA","Portunus pelagicus","CW",,0.1668,2.921
"CRA","Portunus pelagicus","CW",,1.21,2.94
"CRA","Portunus pelagicus","CW",,0.8138,2.95
"CRA","Portunus pelagicus","CW",,1.25,2.97
"CRA","Portunus pelagicus","CW","Yes",0.9333,2.97
"CRA","Portunus pelagicus","CW",,0.1326,2.986
"CRA","Portunus pelagicus","CL",,1,3
"CRA","Portunus pelagicus","CL",,0.8559,3
"CRA","Portunus pelagicus","CL",,0.8212,3
"CRA","Portunus pelagicus","CW",,0.1302,3.009
"CRA","Portunus pelagicus","CW",,0.0628,3.02
"CRA","Portunus pelagicus","CW",,0.1312,3.028
"CRA","Portunus pelagicus","CW",,0.0557,3.047
"CRA","Portunus pelagicus","CW",,0.0679,3.056
"CRA","Portunus pelagicus","CW",,0.1148,3.11
"CRA","Portunus pelagicus","CW",,1.349,3.13
"CRA","Portunus pelagicus","CW",,0.0605,3.132
"CRA","Portunus pelagicus","CL",,0.1422,3.153
"CRA","Portunus pelagicus","CL",,0.451,3.177
"CRA","Portunus pelagicus","CW",,0.0425,3.186
"CRA","Portunus pelagicus","CW",,0.1016,3.213
"CRA","Portunus pelagicus","CW",,0.0404,3.219
"CRA","Portunus pelagicus","CW",,0.0285,3.221
"CRA","Portunus pelagicus","CW",,0.0292,3.253
"CRA","Portunus pelagicus","CW",,0.0356,3.259
"CRA","Portunus pelagicus","CW",,0.0466,3.26
"CRA","Portunus pelagicus","CL",,0.182,3.284
"CRA","Portunus pelagicus","CW",,0.0555,3.31
"CRA","Portunus pelagicus","CL",,0.1976,3.33
"CRA","Portunus pelagicus","CW",,0.022,3.342
"CRA","Portunus pelagicus","CW",,1.81,3.36
"CRA","Portunus pelagicus","CW",,0.0234,3.366
"CRA","Portunus pelagicus","CW",,0.0597,3.404
"CRA","Portunus pelagicus","CW",,2.7542,3.44
"CRA","Portunus pelagicus","CW",,0.0201,3.486
"CRA","Portunus pelagicus","CW",,0.0132,3.617
"CRA","Portunus sanguinolentus","CL","Yes",1.4009,2.385
"CRA","Portunus sanguinolentus","CL","Yes",1.2274,2.476
"CRA","Portunus sanguinolentus","CL",,1.2802,2.54
"CRA","Portunus sanguinolentus","CW",,0.1714,2.808
"CRA","Portunus sanguinolentus","CW",,0.0522,3.018
"CRA","Portunus sanguinolentus","CW",,0.1344,3.022
"CRA","Portunus sanguinolentus","CW",,0.05,3.054
"CRA","Portunus sanguinolentus","CW",,0.0482,3.06
"CRA","Portunus sanguinolentus","CW",,0.0474,3.062
"CRA","Portunus sanguinolentus","CW",,0.0517,3.09
"CRA","Portunus sanguinolentus","CW",,0.0415,3.1
"CRA","Portunus sanguinolentus","CL",,0.0377,3.178
"CRA","Portunus trituberculatus","CW","Yes",1.7084,2.4
"CRA","Portunus trituberculatus","CW","Yes",1.6159,2.423
"CRA","Portunus trituberculatus","CW",,0.1684,2.597
